Season,PLAYER_ID,START_POSITION
2014,201566,PG
2014,201935,SG
2014,201142,SF
2014,2544,SF
2014,203076,PF
2014,2546,SF
2014,202326,C
2014,201939,PG
2014,200746,PF
2014,977,SG
2014,201933,PF
2014,202681,PG
2014,202691,SG
2014,2548,SG
2014,2547,C
2014,200752,SF
2014,203081,PG
2014,201942,SG
2014,202710,SG
2014,2755,SG
2014,202330,SF
2014,202696,C
2014,101108,PG
2014,101145,SG
2014,2200,PF
2014,203506,PG
2014,200768,PG
2014,201565,PG
2014,202322,PG
2014,201188,C
2014,1717,PF
2014,202689,PG
2014,201572,C
2014,202699,SF
2014,202339,PG
2014,202688,PG-SG
2014,203952,SG
2014,203100,SG
2014,200794,PF
2014,201936,SF
2014,2744,C
2014,202695,SF
2014,201567,PF
2014,200755,SG
2014,202738,PG
2014,201609,SG-PG
2014,201954,PG
2014,201588,PG
2014,2216,PF
2014,202324,PF
2014,202083,SG
2014,202328,PF
2014,201952,PG
2014,201144,PG
2014,2037,SG
2014,2730,C
2014,202718,SF
2014,202683,C
2014,101150,SG
2014,201943,PG
2014,203078,SG
2014,202693,PF
2014,201143,C
2014,201951,PG
2014,201145,SF
2014,200745,C
2014,201950,PG
2014,203487,PG
2014,202704,PG
2014,2207,SG
2014,2225,PG
2014,201586,PF
2014,2590,PG
2014,201152,PF
2014,2736,SF
2014,202340,SG
2014,202692,SG
2014,201163,SF
2014,1495,PF
2014,203083,C
2014,201583,PF
2014,203496,SF
2014,101139,SG
2014,203498,SG
2014,201569,SG
2014,203114,SF
2014,201156,SG
2014,201167,SG
2014,203096,PF
2014,101114,PG
2014,2772,SF
2014,203504,PG
2014,203507,SG
2014,203484,SG
2014,201960,SF
2014,202702,PF
2014,201155,PG
2014,201593,C
2014,201568,SF
2014,2746,PF
2014,203953,SF
2014,101162,C
2014,201945,SG
2014,2594,SG
2014,203463,SG
2014,2747,SG
2014,203095,SG
2014,201941,C
2014,101127,PG
2014,202700,PF
2014,202685,C
2014,203913,SG
2014,203903,PG
2014,101123,SG
2014,1718,SF
2014,2430,PF
2014,204038,PG
2014,203079,SG
2014,202355,C
2014,201980,SG
2014,203110,PF
2014,203093,PF
2014,2561,PF
2014,201166,PG
2014,201147,SF
2014,896,SG
2014,101141,PF
2014,201599,C
2014,2405,PF
2014,201564,SG
2014,202391,PG
2014,201975,SG
2014,203505,SG
2014,2403,PF
2014,203077,SF
2014,201627,SG
2014,101138,PF
2014,201579,C
2014,1938,SG
2014,202694,PF
2014,201578,PF
2014,2199,C
2014,201959,PF
2014,203482,C
2014,201937,PG
2014,203144,SG
2014,201596,PG
2014,202703,PF
2014,203092,C
2014,203084,SF
2014,2440,SF
2014,201976,PG
2014,203897,PG
2014,201584,SG
2014,202390,SG
2014,201961,SG
2014,203471,PG
2014,201228,PG
2014,202325,SF
2014,201601,PF
2014,203457,C
2014,203082,SF
2014,2760,C
2014,203476,C
2014,202389,C
2014,201577,C
2014,201571,PG
2014,202323,SG
2014,202349,PG
2014,201587,SF
2014,2399,SF
2014,2449,PF
2014,101161,PF
2014,201158,SG
2014,203477,PG
2014,101181,PG
2014,2202,SG
2014,200782,SF
2014,202711,SF
2014,201956,SF
2014,203524,SF
2014,203901,PG
2014,200765,PG
2014,201563,SF
2014,202331,SF
2014,2734,PG
2014,203138,SG
2014,202779,PG
2014,2564,PF
2014,200751,SG
2014,203918,SG
2014,203486,C
2014,2754,SG
2014,2549,C
2014,203141,PF
2014,202684,PF
2014,203497,C
2014,2742,PG
2014,202334,PF
2014,2749,PG
2014,2585,C
2014,202682,PF
2014,201168,C
2014,202362,SG
2014,2743,PF
2014,202335,PF
2014,202697,SG
2014,203156,C
2014,201160,C
2014,201949,PF
2014,101135,PF
2014,203909,SG
2014,201977,SG
2014,201573,PG
2014,2738,SG
2014,203118,PF
2014,203935,PG
2014,203500,C
2014,2446,SF
2014,203109,SF
2014,2757,PG
2014,202708,PG
2014,201581,C
2014,203469,C
2014,200826,PG
2014,2419,SF
2014,101187,SG
2014,203492,PG
2014,202388,PG
2014,101107,PF
2014,201600,C
2014,101112,PF
2014,202336,C
2014,201611,SF
2014,201148,PF
2014,202344,PF
2014,201162,SG
2014,201171,PF
2014,201149,C
2014,202347,SF-SG
2014,2571,SG
2014,202498,PF-SF
2014,203089,C
2014,203085,PG-SG
2014,1891,SG
2014,708,PF
2014,201988,PG
2014,203994,C
2014,203115,SG
2014,201978,SF
2014,202709,PG
2014,203468,SG
2014,203940,PF
2014,203148,PG
2014,201589,PF
2014,203382,C
2014,202338,C
2014,201582,C
2014,203527,PF
2014,101106,C
2014,101122,SF
2014,203924,SF
2014,203087,SG
2014,203458,C
2014,203956,PF
2014,201196,PG
2014,201229,PF
2014,101111,PF
2014,203142,SF
2014,2732,SG
2014,203499,PG
2014,202397,PG
2014,201574,PF
2014,203933,SF
2014,204028,C
2014,201973,PF
2014,203490,SF
2014,202713,SF
2014,203503,SF
2014,203112,PF
2014,2406,SF
2014,2584,SG
2014,204020,SG
2014,203086,C
2014,2733,PG
2014,1713,SG
2014,201150,PF
2014,2210,SF
2014,203124,PF
2014,203544,PF
2014,2550,SG
2014,202419,SF
2014,101126,PG
2014,203080,PF
2014,202329,SF
2014,203462,SG
2014,203798,SG
2014,203098,SG
2014,202332,C
2014,203930,SG
2014,203921,SF
2014,2400,PF
2014,202714,PG
2014,200761,SF
2014,2365,C
2014,203955,PG
2014,203561,PF
2014,203120,C
2014,203495,SG
2014,202407,SG
2014,200757,SF
2014,203145,SG
2014,203461,PF
2014,201967,PF
2014,204025,PG
2014,203932,PF
2014,201585,C
2014,203960,SF
2014,203894,PG
2014,201985,PG
2014,101179,PG
2014,202730,PF
2014,203540,SF
2014,203516,SF
2014,204060,SF
2014,200811,PF
2014,203488,PF
2014,203094,PF
2014,202687,C
2014,203521,SG
2014,203957,PG
2014,1890,SF
2014,204014,SF
2014,101249,PG
2014,203900,SG
2014,200770,PG
2014,203508,SG
2014,201580,C
2014,2457,PG
2014,203135,C
2014,2748,SF
2014,202087,SF
2014,202720,PF
2014,202620,C
2014,203105,C
2014,203133,SF
2014,2592,SF
2014,1889,PG
2014,203917,SG
2014,203106,SF
2014,2581,PG
2014,203915,PG
2014,201962,PG
2014,203200,SG
2014,203103,SF
2014,101133,C
2014,203485,PG
2014,201979,SG
2014,2617,PF
2014,203088,PG
2014,201177,PF
2014,203123,SF
2014,202337,SF
2014,2555,PF
2014,203949,PF
2014,203143,PG
2014,200769,SG
2014,2223,C
2014,201175,PF
2014,203101,C
2014,2557,PG
2014,203530,C
2014,202066,SG
2014,204037,SF
2014,201948,SF
2014,203580,PG
2014,2588,PF
2014,203584,SG
2014,203473,C
2014,203898,PG
2014,2501,PF
2014,101109,PG
2014,203928,PF
2014,2045,SF
2014,202690,PG
2014,201946,PF
2014,201991,SG
2014,2570,C
2014,202399,PF
2014,200777,C
2014,203090,SF
2014,203515,PG
2014,203475,PG
2014,203914,SG
2014,203460,SG
2014,203923,SG
2014,203459,SG
2014,101131,PF
2014,203943,PF
2014,101110,SF
2014,101128,SF
2014,203919,SG
2014,101198,SG
2014,202366,C
2014,203939,PF
2014,200797,C
2014,203926,SF
2014,203950,PF
2014,203113,PF
2014,203948,PF
2014,203963,PF
2014,203108,C
2014,202343,SG
2014,201965,PF
2014,1882,PF
2014,203991,C
2014,201947,PF
2014,201595,PF
2014,203268,PG
2014,202706,SF
2014,203925,SG
2014,202734,SG
2014,204065,PG
2014,203210,PF
2014,203910,SG
2014,202952,PF
2014,203481,C
2014,203893,PG
2014,201964,SF
2014,202379,SF
2014,203128,PF
2014,203906,SG
2014,203937,SF
2014,202333,SF
2014,202721,PG
2014,779,SG
2014,2034,SF
2014,203922,SG-SF
2014,2853,C
2014,203511,PF
2014,203944,PF
2014,2422,SF
2014,200748,PF
2014,203912,SG
2014,203489,PG
2014,201971,PF
2014,203493,SF
2014,203805,PG
2014,203546,SG
2014,204079,PF
2014,202962,PF
2014,202130,SF
2014,201202,C
2014,203099,SG
2014,204054,SG
2014,202361,SF
2014,2030,PF
2014,200779,SF-PF
2014,204022,PF
2014,101236,C
2014,201604,SG
2014,2217,C
2014,201787,SF
2014,203545,C
2014,203565,SG
2014,202077,PG
2014,203539,PG
2014,203998,SF
2014,203136,C
2014,1737,C
2014,203315,SG-PG
2014,101183,PF
2014,2222,SF
2014,203479,SG
2014,203512,C
2014,201575,SG
2014,202327,PF
2014,203958,SG
2014,203945,C
2014,201880,C
2014,204021,C
2014,203961,PF
2014,203946,PF
2014,2563,SF
2014,1905,SF
2014,203121,SF
2014,203968,PF
2014,203552,PG
2014,202723,SG
2014,203564,PG
2014,101142,C
2014,204033,PF
2013,201142,SF
2013,2546,PF
2013,2544,PF
2013,201567,PF
2013,201935,SG
2013,201933,PF
2013,201939,PG
2013,200746,PF
2013,202326,C
2013,201942,SG
2013,2744,C
2013,201566,PG
2013,202331,SF
2013,1717,PF
2013,203076,C
2013,202681,PG
2013,203081,PG
2013,201572,C
2013,201609,SG
2013,202738,PG
2013,200752,SF
2013,201583,PF
2013,202322,PG
2013,2755,SG
2013,101108,PG
2013,101145,PG
2013,2548,SG
2013,2037,SG
2013,201143,C
2013,202691,SG
2013,2730,C
2013,201167,SG
2013,101135,PF
2013,202688,PG
2013,200768,PG
2013,200794,PF
2013,201156,SG
2013,201152,PF
2013,202339,PG
2013,202689,PG
2013,201951,PG
2013,201593,C
2013,2200,C
2013,2216,PF
2013,201144,PG
2013,203078,SG
2013,201145,SF
2013,203487,PG
2013,2225,PG
2013,202718,SF
2013,201952,PG
2013,202083,SG
2013,2746,SF
2013,2547,C
2013,202330,SF
2013,2736,SF
2013,201565,PG
2013,203079,SG
2013,101123,SG
2013,2207,SG
2013,201975,SG
2013,201943,PG
2013,201569,SG
2013,202328,PF
2013,200755,SG
2013,1495,C
2013,201586,PF
2013,202340,PG
2013,201188,C
2013,202699,PF
2013,201936,SF
2013,2747,SF
2013,2772,SF
2013,201950,PG
2013,101114,PG
2013,2403,PF
2013,202696,C
2013,202692,SG
2013,201945,SG
2013,202323,SF
2013,2561,PF
2013,201155,SG
2013,977,SG
2013,202693,PF
2013,203506,PG
2013,202362,SG
2013,2430,PF
2013,202702,PF
2013,201163,SF
2013,203083,C
2013,1718,SF
2013,200745,C
2013,202324,PF
2013,203096,PF
2013,200751,SG
2013,101162,C
2013,201150,C
2013,201571,PG
2013,202710,SG
2013,202704,PG
2013,201587,SF
2013,201959,PF
2013,203100,SG
2013,203504,PG
2013,202695,SF
2013,201149,C
2013,202391,PG
2013,201147,SF
2013,1938,SG
2013,202683,C
2013,201196,PG
2013,203093,PF
2013,203114,SF
2013,2749,PG
2013,2594,SG
2013,1713,SG
2013,2405,C
2013,201581,PF
2013,201564,SG
2013,200765,PG
2013,202684,PF
2013,201158,SF
2013,101181,PG
2013,201954,PG
2013,2399,SF
2013,202685,C
2013,101154,PF
2013,101141,PF
2013,101138,PF
2013,201960,SF
2013,101112,PF
2013,203089,PF
2013,201577,C
2013,202348,SG
2013,203082,SG
2013,201579,C
2013,2406,SF
2013,202390,SG
2013,101161,PF
2013,201599,C
2013,2549,C
2013,1890,SF
2013,101126,PG
2013,101150,PG
2013,201588,PG
2013,201976,PG
2013,896,SG
2013,201988,PG
2013,202341,SG
2013,200770,PG
2013,2210,SF
2013,202333,SF
2013,2440,SF
2013,101139,SG
2013,201596,PG
2013,201977,SG
2013,101109,PG
2013,201941,PF
2013,202694,SF
2013,201160,PF
2013,101110,SF
2013,2590,PG
2013,951,SG
2013,201584,SG
2013,203118,PF
2013,202713,SF
2013,202349,SG-PG
2013,203084,SF
2013,101127,PG
2013,201937,PG
